City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
315,Nishihara,JP,82.4,26.18,127.76,Minshuku Agaihama
317,Aitape,PG,78.24,-3.14,142.35,
318,Auki,SB,77.92,-8.77,160.7,Auki Motel
320,Beyneu,KZ,87.04,45.32,55.2,NUR
323,Finschhafen,PG,78.78,-6.6,147.87,Cossam Guest House
326,Ouricuri,BR,83.84,-7.88,-40.08,Sertão Pousada
327,Bangad,PH,80.6,15.5,121.03,Hunter Valley Resort and Hotel
328,Tazmalt,DZ,75.2,36.39,4.4,Hôtel Numédia
329,Indramayu,ID,79.2,-6.33,108.32,Grand Trisula Hotel
330,Camopi,GF,81.21,3.17,-52.32,
334,Ariquemes,BR,88.29,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
336,Xucheng,CN,80.6,20.35,110.13,Haixing Hotel
341,Puerto Leguizamo,CO,82.56,-0.19,-74.78,la casona de juancho
344,Buala,SB,80.2,-8.14,159.59,Maringe Lagoon Lodge
345,Eydhafushi,MV,84.34,5.1,73.07,Soneva Fushi
346,Hirara,JP,83.79,24.8,125.28,Hotel Atoll Emerald Miyakojima
347,Cabra,ES,84.0,37.47,-4.44,MS Fuente Las Piedras
348,Bansgaon,IN,84.02,26.56,83.35,siv mandir Raja niwas
349,Hobyo,SO,79.79,5.35,48.53,Osmani Hotel
351,Bang Yai,TH,90.0,13.84,100.36,ปภาวรินท์ ไลฟ์อัพ
356,Bontang,ID,79.86,0.13,117.5,Okra Leaf Guest House Syariah
357,Mandaguacu,BR,75.2,-23.35,-52.1,Comaq Palace Hotel
361,Nhulunbuy,AU,77.65,-12.23,136.77,East Arnhem Real Estate
363,Mayo,US,80.6,38.89,-76.51,Resorts Resource Group International
365,Magay,PH,77.0,10.47,124.01,Estaca Bay Resort
366,San Patricio,MX,86.0,19.22,-104.7,Hotel Cabo Blanco
367,Tskaltubo,GE,78.8,42.33,42.6,Guest House On Mirian Mepe
368,Baoning,CN,78.8,25.34,110.03,
